Period,First Release
2006-03-18,302000.0
2006-03-11,309000.0
2006-03-04,303000.0
2006-02-25,294000.0
2006-02-18,278000.0
2006-02-11,297000.0
2006-02-04,277000.0
2006-01-28,273000.0
2006-01-21,283000.0
2006-01-14,271000.0
2006-01-07,309000.0
2005-12-31,291000.0
2005-12-24,322000.0
2005-12-17,318000.0
2005-12-10,329000.0
2005-12-03,327000.0
2005-11-26,320000.0
2005-11-19,335000.0
2005-11-12,303000.0
2005-11-05,326000.0
2005-10-29,323000.0
2005-10-22,328000.0
2005-10-15,355000.0
2005-10-08,389000.0
2005-10-01,390000.0
2005-09-24,356000.0
2005-09-17,432000.0
2005-09-10,398000.0
2005-09-03,319000.0
2005-08-27,320000.0
2005-08-20,315000.0
2005-08-13,316000.0
2005-08-06,308000.0
2005-07-30,312000.0
2005-07-23,310000.0
2005-07-16,303000.0
2005-07-09,336000.0
2005-07-02,319000.0
2005-06-25,310000.0
2005-06-18,314000.0
2005-06-11,333000.0
2005-06-04,330000.0
2005-05-28,350000.0
2005-05-21,323000.0
2005-05-14,321000.0
2005-05-07,340000.0
2005-04-30,333000.0
2005-04-23,320000.0
2005-04-16,296000.0
2005-04-09,330000.0
2005-04-02,334000.0
2005-03-26,350000.0
2005-03-19,324000.0
2005-03-12,318000.0
2005-03-05,327000.0
2005-02-26,310000.0
2005-02-19,312000.0
2005-02-12,302000.0
2005-02-05,303000.0
2005-01-29,316000.0
2005-01-22,325000.0
2005-01-15,319000.0
2005-01-08,367000.0
2005-01-01,364000.0
2004-12-25,326000.0
2004-12-18,333000.0
2004-12-11,317000.0
2004-12-04,357000.0
2004-11-27,349000.0
2004-11-20,323000.0
2004-11-13,334000.0
2004-11-06,333000.0
2004-10-30,332000.0
2004-10-23,350000.0
2004-10-16,329000.0
2004-10-09,352000.0
2004-10-02,335000.0
2004-09-25,369000.0
2004-09-18,350000.0
2004-09-11,333000.0
2004-09-04,319000.0
2004-08-28,362000.0
2004-08-21,343000.0
2004-08-14,331000.0
2004-08-07,333000.0
2004-07-31,336000.0
2004-07-24,345000.0
2004-07-17,339000.0
2004-07-10,341000.0
2004-07-03,310000.0
2004-06-26,351000.0
2004-06-19,349000.0
2004-06-12,336000.0
2004-06-05,352000.0
2004-05-29,339000.0
2004-05-22,344000.0
2004-05-15,345000.0
